Feature1,Feature2,Correlation,Notes
profit_proportion,roi_perc,1.0000000000000033,
tn_production_budget,scaled_tn_production_budget,1.0000000000000013,
tn_worldwide_gross,scaled_tn_worldwide_gross,1.0000000000000013,
domestic_gross,scaled_domestic_gross,1.0000000000000009,
foreign_gross,scaled_foreign_gross,0.9999999999999997,
profit,scaled_profit,0.9999999999999962,
domestic_gross,tn_domestic_gross,0.9999971273666057,
tn_domestic_gross,scaled_domestic_gross,0.9999971273666045,
profit,scaled_tn_worldwide_gross,0.9831481464831203,
tn_worldwide_gross,profit,0.9831481463789613,
scaled_profit,scaled_tn_worldwide_gross,0.983148146330652,
tn_worldwide_gross,scaled_profit,0.9831481462264925,
tn_worldwide_gross,scaled_foreign_gross,0.980333523500439,
scaled_tn_worldwide_gross,scaled_foreign_gross,0.9803335230940182,
foreign_gross,tn_worldwide_gross,0.9803335230442014,
foreign_gross,scaled_tn_worldwide_gross,0.9803335226377817,
foreign_gross,profit,0.9648217261550556,
profit,scaled_foreign_gross,0.964821726123673,
foreign_gross,scaled_profit,0.9648217259831957,
scaled_profit,scaled_foreign_gross,0.9648217259518106,
tn_domestic_gross,scaled_tn_worldwide_gross,0.9437996358409457,
tn_domestic_gross,tn_worldwide_gross,0.9437996348819269,
tn_domestic_gross,scaled_profit,0.9417396054687589,
tn_domestic_gross,profit,0.941739605246392,
domestic_gross,scaled_tn_worldwide_gross,0.9306757442185524,
scaled_tn_worldwide_gross,scaled_domestic_gross,0.9306757442185507,
domestic_gross,tn_worldwide_gross,0.930675743444423,
tn_worldwide_gross,scaled_domestic_gross,0.9306757434444215,
domestic_gross,profit,0.9229530942266214,
profit,scaled_domestic_gross,0.9229530942266208,
scaled_profit,scaled_domestic_gross,0.9229530938730427,
domestic_gross,scaled_profit,0.9229530938730411,
tn_domestic_gross,scaled_foreign_gross,0.8694468565130709,
foreign_gross,tn_domestic_gross,0.8694468558290998,
domestic_gross,scaled_foreign_gross,0.8379698103877488,
scaled_domestic_gross,scaled_foreign_gross,0.8379698103877482,
domestic_gross,foreign_gross,0.8379698090948945,
foreign_gross,scaled_domestic_gross,0.8379698090948943,
scaled_tn_production_budget,scaled_foreign_gross,0.7851671457762318,
tn_production_budget,scaled_foreign_gross,0.7851671454224991,
foreign_gross,scaled_tn_production_budget,0.7851671435627916,
foreign_gross,tn_production_budget,0.7851671432090578,
tn_production_budget,tn_worldwide_gross,0.7651448331353224,
tn_worldwide_gross,scaled_tn_production_budget,0.7651448330638444,
tn_production_budget,scaled_tn_worldwide_gross,0.7651448327684767,
scaled_tn_production_budget,scaled_tn_worldwide_gross,0.7651448326970046,
domestic_gross,scaled_tn_production_budget,0.7249189925426399,
scaled_tn_production_budget,scaled_domestic_gross,0.7249189925426387,
domestic_gross,tn_production_budget,0.724918992359241,
tn_production_budget,scaled_domestic_gross,0.7249189923592398,
scaled_foreign_gross,log_profit,0.7172021223385372,
foreign_gross,log_profit,0.7172021205543548,
tn_domestic_gross,log_profit,0.7170059507367261,
tn_domestic_gross,scaled_tn_production_budget,0.7093589607790649,
tn_production_budget,tn_domestic_gross,0.7093589605088745,
domestic_gross,log_profit,0.684905400088202,
scaled_domestic_gross,log_profit,0.6849054000882014,
numvotes,scaled_domestic_gross,0.6763204797207898,
numvotes,domestic_gross,0.6763204797207889,
numvotes,tn_worldwide_gross,0.6740785984127943,
numvotes,scaled_tn_worldwide_gross,0.6740785963223671,
numvotes,tn_domestic_gross,0.6543606883537766,
numvotes,profit,0.643605055386801,
numvotes,scaled_profit,0.6436050539612344,
tn_production_budget,profit,0.6345466082062212,
profit,scaled_tn_production_budget,0.6345466081204214,
tn_production_budget,scaled_profit,0.6345466075616233,
scaled_profit,scaled_tn_production_budget,0.6345466074758257,
numvotes,scaled_foreign_gross,0.6087814533613153,
numvotes,foreign_gross,0.6087814526718409,
tn_worldwide_gross,log_profit,0.5841133987909953,
scaled_tn_worldwide_gross,log_profit,0.5841133986055754,
numvotes,tn_production_budget,0.5824900849695311,
numvotes,scaled_tn_production_budget,0.5824900848823862,
scaled_profit,log_profit,0.5557665223092974,
profit,log_profit,0.5557665221420907,
tn_production_budget,log_profit,0.5501597309500595,
scaled_tn_production_budget,log_profit,0.5501597308024682,
numvotes,log_profit,0.5034843674592584,
tn_production_budget,isgenre_adventure,0.5029826250758429,
isgenre_adventure,scaled_tn_production_budget,0.5029826248561008,
isgenre_adventure,scaled_foreign_gross,0.4803499223934951,
foreign_gross,isgenre_adventure,0.48034992111113567,
tn_domestic_gross,isgenre_adventure,0.43556393103272445,
isgenre_animation,isgenre_adventure,0.42027441616567546,
isgenre_adventure,scaled_domestic_gross,0.41872404465294594,
domestic_gross,isgenre_adventure,0.4187240446529454,
isgenre_adventure,scaled_tn_worldwide_gross,0.37967035741759264,
tn_worldwide_gross,isgenre_adventure,0.37967035729326726,
tn_production_budget,isgenre_action,0.3617410099270395,
isgenre_action,scaled_tn_production_budget,0.36174100982856977,
isgenre_mystery,isgenre_horror,0.34486038344027237,
isgenre_adventure,log_profit,0.33639840116736297,
foreign_gross,isgenre_action,0.3342568695205095,
isgenre_action,scaled_foreign_gross,0.3342568692746036,
averagerating,tn_domestic_gross,0.3280102267230186,
runtime_minutes,foreign_gross,0.31658047861974,
runtime_minutes,scaled_foreign_gross,0.3165804772660224,
averagerating,numvotes,0.31539790197106515,
isgenre_action,isgenre_adventure,0.31344909044448477,
profit,isgenre_adventure,0.31294282844475,
isgenre_adventure,scaled_profit,0.3129428282912607,
isgenre_sci-fi,scaled_foreign_gross,0.3016865862090662,
foreign_gross,isgenre_sci-fi,0.3016865846561919,
isgenre_sci-fi,scaled_domestic_gross,0.29454404164363174,
domestic_gross,isgenre_sci-fi,0.2945440416436312,
runtime_minutes,averagerating,0.2936483532551266,
runtime_minutes,tn_domestic_gross,0.28258624817923184,
tn_domestic_gross,isgenre_sci-fi,0.28225244871915134,
averagerating,scaled_domestic_gross,0.2766515822827823,
averagerating,domestic_gross,0.27665158228278225,
isgenre_action,log_profit,0.2745583880625963,
tn_domestic_gross,isgenre_action,0.2635790845636329,
averagerating,scaled_foreign_gross,0.26186664874361937,
averagerating,foreign_gross,0.26186664778483976,
runtime_minutes,scaled_tn_production_budget,0.25296174769447055,
runtime_minutes,tn_production_budget,0.25296174747794925,
runtime_minutes,numvotes,0.2528023963317022,
numvotes,isgenre_sci-fi,0.2524026064473941,
tn_worldwide_gross,isgenre_action,0.24765837514200129,
isgenre_action,scaled_tn_worldwide_gross,0.2476583747097917,
tn_domestic_gross,isgenre_animation,0.24333103071422332,
isgenre_sci-fi,scaled_tn_production_budget,0.23970765100311314,
tn_production_budget,isgenre_sci-fi,0.239707650615216,
runtime_minutes,isgenre_drama,0.23804899714233266,
isgenre_history,isgenre_biography,0.2357331173321848,
numvotes,isgenre_adventure,0.22935221569802092,
domestic_gross,isgenre_action,0.22859239999721853,
isgenre_action,scaled_domestic_gross,0.2285923999972181,
runtime_minutes,isgenre_action,0.22519267826941547,
isgenre_animation,scaled_domestic_gross,0.22315153129950377,
domestic_gross,isgenre_animation,0.22315153129950346,
runtime_minutes,log_profit,0.22203128478154163,
isgenre_drama,isgenre_biography,0.2178372053224978,
averagerating,isgenre_drama,0.21669035761978211,
numvotes,isgenre_action,0.2125937724831629,
runtime_minutes,tn_worldwide_gross,0.20995327615363515,
runtime_minutes,scaled_tn_worldwide_gross,0.20995327602556185,
isgenre_animation,scaled_foreign_gross,0.20769494041010558,
foreign_gross,isgenre_animation,0.20769493729309565,
tn_worldwide_gross,isgenre_sci-fi,0.20297034577703432,
isgenre_sci-fi,scaled_tn_worldwide_gross,0.20297034470683242,
isgenre_comedy,isgenre_drama,-0.21507881774956905,
isgenre_action,isgenre_drama,-0.21779599228265226,
isgenre_animation,isgenre_drama,-0.2347302224741225,
tn_domestic_gross,isgenre_drama,-0.2588072726844199,
isgenre_comedy,isgenre_thriller,-0.2689544566056934,
foreign_gross,isgenre_drama,-0.27340915147066946,
isgenre_drama,scaled_foreign_gross,-0.2734091534166251,
isgenre_drama,scaled_domestic_gross,-0.28029821860667486,
domestic_gross,isgenre_drama,-0.28029821860667536,
isgenre_drama,isgenre_adventure,-0.30765446606936137,
